"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Сербия;12.05.2020;10243;3600;220;67;310;2
Барбадос;15.12.2020;297;273;7;1;1;0
Испания;16.12.2020;1773290;150376;48596;11078;0;195
Лаос;05.06.2020;19;18;0;0;0;0
Руанда;30.06.2020;1025;447;2;24;4;0
Болгария;10.09.2020;17598;12619;706;163;145;4
Того;31.01.2020;0;0;0;0;0;0
Судно "Diamond Princess";08.08.2020;712;651;13;0;0;0
Западный берег реки Иордан;08.07.2020;5029;494;20;382;0;2
Палау;05.10.2020;0;0;0;0;0;0
Венесуэла;15.12.2020;108480;103271;965;355;234;5
Micronesia;12.05.2020;0;0;0;0;0;0
Узбекистан;23.01.2020;0;0;0;0;0;0
Албания;21.03.2020;76;2;2;6;2;0
Эфиопия;21.03.2020;9;0;0;0;0;0
Сьерра-Леоне;16.04.2020;15;0;0;2;0;0
Сент-Китс и Невис;05.03.2020;0;0;0;0;0;0
Фиджи;28.03.2020;5;0;0;0;0;0
Танзания;12.06.2020;509;183;21;0;0;0
Кувейт;16.12.2020;146971;142909;913;261;310;0
Индонезия;24.08.2020;155412;111060;6759;1877;3560;79
Шри-Ланка;10.07.2020;2454;1980;11;300;1;0
Иордания;08.03.2020;1;0;0;0;0;0
Бруней;14.09.2020;145;139;3;0;0;0
Чехия;18.05.2020;8586;5641;297;111;179;-1
Бельгия;21.02.2020;1;1;0;0;0;0
ОАЭ;21.03.2020;153;38;2;13;7;0
Монако;21.02.2020;0;0;0;0;0;0
Мавритания;26.08.2020;6977;6356;158;17;35;0
Эквадор;31.12.2020;212512;184507;14034;1000;0;11
Словакия;05.06.2020;1526;1379;28;0;3;0
Уганда;05.05.2020;98;55;0;1;0;0
Сейшельские острова;07.12.2020;182;168;0;0;0;0
Уругвай;14.10.2020;2388;2007;51;51;20;0
Норвегия;03.10.2020;14362;11190;275;78;0;0
Камбоджа;01.06.2020;125;123;0;0;0;0
США;12.07.2020;3310731;1006326;135557;60172;10750;474
Соломоновы острова;22.08.2020;0;0;0;0;0;0
Гвинея-Бисау;22.02.2020;0;0;0;0;0;0
Исландия;05.08.2020;1926;1825;10;8;0;0
Папский Престол;09.10.2020;12;12;0;0;0;0
Алжир;28.03.2020;454;31;29;45;2;3
Грузия;23.02.2020;0;0;0;0;0;0
Кипр;17.04.2020;735;77;12;20;0;0
Мьянма;01.02.2020;0;0;0;0;0;0
Марокко;27.08.2020;57085;41901;1011;1221;1315;27
Бутан;10.06.2020;59;18;0;0;1;0
Сент-Люсия;09.08.2020;25;24;0;0;0;0
Доминика;06.03.2020;0;0;0;0;0;0
Косово и Метохия;29.06.2020;2677;1425;49;87;31;1
Камерун;15.11.2020;22692;21510;433;0;0;0
Латвия;27.06.2020;1115;932;30;3;0;0
